code,name,url,medium_logo_url
mxbank,MX Bank,https://www.mx.com,https://content.moneydesktop.com/storage/MD_Assets/Ipad%20Logos/100x100/INS-1572a04c-912b-59bf-5841-332c7dfafaef_100x100.png
mx_bank_oauth,MX Bank (Oauth),www.mx.com,https://content.moneydesktop.com/storage/MD_Assets/Ipad%20Logos/100x100/INS-68e96dd6-eabd-42d3-9f05-416897f0746c_100x100.png
bank_of_mx_oauth,Bank of MX (OAuth),https://banksy.kube.int.internal.mx,
formfreebank,FormFree Bank,http://accountcheck.net,https://content.moneydesktop.com/storage/MD_Assets/Ipad%20Logos/100x100/INS-1e6809f3-0973-4255-b196-3f50dd47d900_100x100.png
